2025-09-21 22:55:08 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-21 22:55:08 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-21 22:55:08 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-21 22:55:08 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-21 22:55:08 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-21 22:55:08 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-21 22:59:45 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-21 22:59:45 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-21 22:59:45 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-21 23:29:38 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-21 23:29:38 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-21 23:29:38 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-21 23:29:38 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-21 23:29:38 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-21 23:29:38 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-21 23:30:09 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-21 23:30:09 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-21 23:30:09 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-21 23:30:09 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-21 23:30:09 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-21 23:30:09 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-21 23:34:10 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-21 23:34:10 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-21 23:34:10 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-21 23:34:10 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-21 23:34:10 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-21 23:34:10 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-22 16:50:59 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-22 16:50:59 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-22 16:50:59 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-22 16:50:59 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-22 16:50:59 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-22 16:50:59 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-22 16:52:04 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-22 16:52:04 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-22 16:52:04 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-22 16:52:04 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-22 16:52:04 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-22 16:52:04 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-22 16:54:36 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-22 16:54:36 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-22 16:54:36 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-22 18:52:56 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-22 18:52:56 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-22 18:52:56 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-22 18:52:56 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-22 18:52:56 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-22 18:52:56 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-22 18:53:39 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-22 18:53:39 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-22 18:53:39 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-22 18:53:39 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-22 18:53:39 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-22 18:53:39 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-23 21:18:57 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-23 21:18:57 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-23 21:18:57 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-23 21:18:57 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-23 21:18:57 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-23 21:18:57 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-23 21:21:17 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-23 21:21:17 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-23 21:21:17 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-23 21:21:17 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-23 21:21:17 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-23 21:21:17 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-23 22:00:56 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-23 22:00:56 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-23 22:00:56 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-23 22:00:56 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-23 22:00:56 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-23 22:00:56 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-23 22:01:29 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-23 22:01:29 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-23 22:01:29 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-23 22:01:29 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-23 22:01:29 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-23 22:01:29 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-24 00:02:52 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-24 00:02:52 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-24 00:02:52 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
2025-09-24 00:02:52 | INFO | root | === faiss-search 서비스 시작 ===
2025-09-24 00:02:52 | INFO | root | 공통 로그 파일: ./logs/faiss-search.log
2025-09-24 00:02:52 | INFO | root | FAISS 전용 로그 파일: ./faiss-search.log
